Epoch 1, 10% 	 train_loss_169_batch: 1.2756 	 took: 1.5943s 
Epoch 1, 10% 	 train_loss_170_batch: 0.6627 	 took: 2.1583s 
Epoch 1, 10% 	 train_loss_171_batch: 0.9868 	 took: 2.5242s 
Epoch 1, 10% 	 train_loss_172_batch: 0.9428 	 took: 2.0021s 
Epoch 1, 10% 	 train_loss_173_batch: 0.8215 	 took: 1.7031s 
Epoch 1, 10% 	 train_loss_174_batch: 0.8404 	 took: 3.2983s 
Epoch 1, 11% 	 train_loss_175_batch: 0.8290 	 took: 3.4996s 
Epoch 1, 11% 	 train_loss_176_batch: 1.3515 	 took: 2.5069s 
Epoch 1, 11% 	 train_loss_177_batch: 0.8296 	 took: 3.1892s 
Epoch 1, 11% 	 train_loss_178_batch: 0.9824 	 took: 3.2698s 
Epoch 1, 11% 	 train_loss_179_batch: 0.8286 	 took: 3.3495s 
Epoch 1, 11% 	 train_loss_180_batch: 0.9797 	 took: 2.5545s 
Epoch 1, 11% 	 train_loss_181_batch: 0.9538 	 took: 2.7475s 
Epoch 1, 11% 	 train_loss_182_batch: 0.9708 	 took: 4.6135s 
Epoch 1, 11% 	 train_loss_183_batch: 0.6705 	 took: 2.2528s 
Epoch 1, 11% 	 train_loss_184_batch: 1.3695 	 took: 2.2639s 
Epoch 1, 11% 	 train_loss_185_batch: 0.8759 	 took: 2.3337s 
Epoch 1, 11% 	 train_loss_186_batch: 0.9610 	 took: 2.6863s 
Epoch 1, 11% 	 train_loss_187_batch: 0.8620 	 took: 2.2892s 
Epoch 1, 11% 	 train_loss_188_batch: 1.2555 	 took: 2.5895s 
Epoch 1, 11% 	 train_loss_189_batch: 0.8734 	 took: 1.9469s 
Epoch 1, 11% 	 train_loss_190_batch: 0.7466 	 took: 2.4067s 
Epoch 1, 12% 	 train_loss_191_batch: 0.5905 	 took: 3.9313s 
Epoch 1, 12% 	 train_loss_192_batch: 0.8204 	 took: 2.6790s 
Epoch 1, 12% 	 train_loss_193_batch: 0.9738 	 took: 4.6296s 
Epoch 1, 12% 	 train_loss_194_batch: 0.8536 	 took: 2.5528s 
Epoch 1, 12% 	 train_loss_195_batch: 0.6665 	 took: 2.5366s 
Epoch 1, 12% 	 train_loss_196_batch: 0.6750 	 took: 3.9218s 
Epoch 1, 12% 	 train_loss_197_batch: 0.5350 	 took: 4.8414s 
Epoch 1, 12% 	 train_loss_198_batch: 0.6813 	 took: 3.0872s 
Epoch 1, 12% 	 train_loss_199_batch: 1.0056 	 took: 1.6367s 
Epoch 1, 12% 	 train_loss_200_batch: 0.3167 	 took: 1.5785s 
Epoch 1, 12% 	 train_loss_201_batch: 0.9998 	 took: 1.6278s 
Epoch 1, 12% 	 train_loss_202_batch: 1.0253 	 took: 2.2659s 
Epoch 1, 12% 	 train_loss_203_batch: 0.8210 	 took: 3.2022s 
Epoch 1, 12% 	 train_loss_204_batch: 1.4134 	 took: 2.0928s 
Epoch 1, 12% 	 train_loss_205_batch: 0.9960 	 took: 2.2422s 
Epoch 1, 13% 	 train_loss_206_batch: 0.5822 	 took: 2.1418s 
Epoch 1, 13% 	 train_loss_207_batch: 1.1920 	 took: 2.1451s 
Epoch 1, 13% 	 train_loss_208_batch: 0.8145 	 took: 1.5528s 
Epoch 1, 13% 	 train_loss_209_batch: 1.0149 	 took: 1.9057s 
Epoch 1, 13% 	 train_loss_210_batch: 1.3897 	 took: 1.8691s 
Epoch 1, 13% 	 train_loss_211_batch: 0.6570 	 took: 1.6014s 
Epoch 1, 13% 	 train_loss_212_batch: 1.0562 	 took: 2.3229s 
Epoch 1, 13% 	 train_loss_213_batch: 1.7722 	 took: 1.8435s 
Epoch 1, 13% 	 train_loss_214_batch: 1.2529 	 took: 2.8825s 
Epoch 1, 13% 	 train_loss_215_batch: 1.3120 	 took: 3.1344s 
Epoch 1, 13% 	 train_loss_216_batch: 0.5959 	 took: 2.7007s 
Epoch 1, 13% 	 train_loss_217_batch: 0.8073 	 took: 2.7971s 
Epoch 1, 13% 	 train_loss_218_batch: 0.7384 	 took: 2.4502s 
Epoch 1, 13% 	 train_loss_219_batch: 0.9849 	 took: 3.2577s 
Epoch 1, 13% 	 train_loss_220_batch: 0.8756 	 took: 2.5549s 
Epoch 1, 13% 	 train_loss_221_batch: 1.0372 	 took: 2.8971s 
Epoch 1, 14% 	 train_loss_222_batch: 0.7326 	 took: 1.5090s 
Epoch 1, 14% 	 train_loss_223_batch: 0.4491 	 took: 2.5020s 
Epoch 1, 14% 	 train_loss_224_batch: 0.6025 	 took: 2.4140s 
Epoch 1, 14% 	 train_loss_225_batch: 1.0966 	 took: 2.4374s 
Epoch 1, 14% 	 train_loss_226_batch: 1.2207 	 took: 4.7846s 
Epoch 1, 14% 	 train_loss_227_batch: 1.0360 	 took: 5.3319s 
